BBB CBB CBB CBB CBB BBB BBB BBB BBB BBB BBB BBB BBB BBB CBB BBB CBB CBB BBB BBB BBB CBB CBB CBB CBB BBB CBB BBB BBB BBB BBB CBB BBB BBB BBB BBB BBB BBB CBB CBB CBB CBB BBB BBB BBB CBB BBB BBB BBB CBB BBB CBB CBB CBB CBB BBB BBB CBB BBB CBB CBB CBB CBB CBB CBB CBB BBB CBB BBB CBB CBB BBB BBB BBB BBB BBB CBB CBB CBB BBB BBB BBB CBB BBB BBB BBB BBB BBB BBB CBB CBB CBB CBB CBB BBB BBB CBB CBB BBB BBB 
CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB BBB BBB BBB CBB CBB BBB BBB BBB BBB CBB BBB BBB BBB BBB BBB BBB CBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB CBB CBB BBB BBB BBB CBB CBB CBB BBB BBB BBB CBB CBB BBB BBB BBB CBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB CBB BBB BBB BBB CBB BBB BBB 
BBB BBB BBB CBB BBB BBB BBB BBB BBB BBB CBB BBB BBB CBB BBB BBB BBB BBB CBB CBB BBB CBB CBB CBB BBB CBB BBB BBB BBB BBB BBB BBB BBB BBB CBB CBB BBB CBB BBB CBB CBB BBB BBB BBB BBB BBB CBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB CBB BBB CBB CBB BBB BBB CBB CBB CBB BBB BBB BBB BBB CBB CBB BBB BBB BBB CBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB CBB BBB BBB 
CBB BBB BBB CBB BBB BBB BBB BBB BBB BBB CBB CBB CBB BBB CBB CBB CBB BBB BBB CBB BBB BBB BBB CBB BBB CBB BBB BBB BBB CBB CBB CBB CBB BBB BBB BBB BBB BBB BBB BBB CBB BBB BBB BBB BBB BBB CBB BBB BBB BBB BBB BBB CBB CBB BBB BBB BBB BBB BBB BBB BBB BBB CBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB CBB BBB BBB BBB CBB BBB BBB BBB BBB BBB BBB BBB BBB BBB CBB CBB BBB BBB BBB CBB BBB BBB 
CBB CBB CBB BBB BBB BBB BBB BBB BBB BBB CBB CBB CBB CBB BBB BBB BBB CBB CBB CBB CBB CBB CBB CBB CBB BBB BBB BBB BBB BBB BBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB BBB BBB BBB BBB BBB BBB BBB BBB CBB BBB BBB BBB BBB BBB BBB BBB CBB CBB CBB CBB BBB CBB CBB CBB BBB CBB BBB BBB BBB CBB CBB CBB BBB BBB CBB CBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB CBB CBB CBB CBB CBB BBB BBB CBB CBB BBB BBB 
CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB BBB BBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB BBB BBB BBB BBB CBB CBB BBB CBB CBB BBB BBB CBB CBB BBB BBB 
BBB CBB CBB BBB BBB BBB BBB BBB BBB BBB CBB BBB BBB BBB BBB BBB BBB CBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB CBB CBB CBB CBB BBB CBB BBB BBB BBB BBB BBB BBB BBB BBB CBB CBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB CBB BBB BBB CBB BBB BBB BBB 
CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB BBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB BBB CBB CBB CBB CBB CBB CBB BBB CBB BBB CBB BBB CBB CBB CBB BBB BBB BBB BBB CBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB CBB BBB BBB CBB CBB CBB BBB CBB CBB CBB BBB CBB BBB CBB CBB BBB CBB CBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB CBB BBB BBB 
CBB CBB CBB CBB BBB BBB CBB BBB BBB BBB CBB CBB CBB CBB BBB BBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB BBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB BBB CBB BBB CBB CBB CBB CBB CBB CBB CBB CBB BBB BBB CBB BBB CBB BBB BBB CBB CBB CBB CBB BBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB BBB CBB CBB CBB CBB CBB BBB CBB BBB CBB BBB BBB BBB BBB CBB CBB CBB CBB CBB CBB CBB CBB BBB BBB 
CBB CBB CBB BBB BBB BBB BBB BBB BBB BBB CBB CBB CBB CBB CBB BBB CBB CBB CBB BBB CBB CBB BBB CBB CBB CBB CBB CBB BBB CBB BBB CBB CBB CBB BBB BBB CBB CBB CBB CBB CBB CBB CBB CBB CBB BBB CBB CBB CBB BBB CBB CBB CBB CBB CBB CBB CBB CBB CBB BBB CBB BBB CBB CBB CBB CBB CBB BBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB BBB CBB BBB BBB BBB BBB BBB BBB BBB CBB CBB BBB BBB CBB CBB BBB BBB 
