CCC CCC BBB CCC BBB BBB CCC BBB CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB CBB CBB BBB BBB CBB BBB BBB CBB CBB CBB CBB CBB CBB BBB BBB CBB CBB CBB CBB CBB CBB CBB CBB BBB BBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB 
CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC BBB CCB BBB CCC BBB BBB CCC BBB CCC CCC CCC BBB CCC CCB CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCB CCC CCB CCB BBB BBB CCC BBB CCC CCC CCB CCC CCB CCC CCB BBB CCC CBB CCB CCC CCC CCC CCC CCC 
CCC CCC BBB CCC BBB BBB CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCB CCC CCC CCC CCC CCC CCC CCC CCB CCB CCC BBB CCC CCC CCC CCC CCC CCB CCC CCC CCC CCB CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC BBB BBB CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC BBB BBB CCC CCC CCC 
CCC CCC CCC CCC CCC CBB CCC CCB CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCB CCC CCB CCC CCC CCC BBB BBB CCC CCC CCC BBB BBB CCB CCC BBB CBB CCC BBB BBB CCC CCC CCC CCC CCC CCC CBB CCB CCC CCC CCC CCB CBB BBB BBB CBB CCC CCB CCC CBB CCC CCC CCB CCC CBB CCC CCC BBB CBB CBB 
CBB CBB CBB CBB BBB BBB CBB BBB CBB CBB CCC CCC CCC CBB CBB CBB CBB CBB CBB CCC CBB BBB BBB CCC CCC CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CCC BBB CCC CCC BBB CBB CCC BBB BBB BBB CBB CBB BBB CBB CBB CBB BBB CBB CBB CBB CBB CBB CBB CBB CBB BBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB CBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB CBB BBB BBB BBB CBB CBB 
BBB BBB BBB BBB CCC CCC CCC CCC CCC CCC CCC CCC BBB BBB BBB BBB BBB BBB BBB CCC CCC CCC BBB CCC BBB BBB CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC BBB BBB CCC BBB CCC CCC CCC CCC CCC CCC BBB BBB BBB BBB BBB CCC BBB BBB BBB BBB CCC CCC BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB CCC BBB BBB BBB BBB BBB BBB BBB CCC BBB CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC 
BBB BBB CCB CCB CCC BBB CCC CCC CCC CCC CCC CCC CCC CCB CCC CCB CCB CCC CCB CCC CCC CCC CCB CCC CCC CCB CCC BBB CCC CCC CCC BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB CBB CCB CCB BBB BBB BBB BBB BBB BBB BBB CCB BBB BBB BBB BBB CCB CCB BBB CBB CBB CCB CCC CCB CCB CBB CBB CCB CBB CBB CBB BBB CCC CCC CBB BBB CCB CCB CCC CBB CCC CCC CCC CBB CCB 
CCB CCB BBB BBB BBB BBB BBB BBB BBB CCC CCC CCC CCC CCC CCB CCC CCC CCB CCC CCC CCC CCC CCC CCC CCC CCC CCB BBB CCB CBB CCB CBB BBB BBB BBB BBB CBB CBB BBB CCC BBB CCC CCC BBB BBB BBB CCC CCC CCC CCC BBB CCC CCC CCC BBB BBB CCC CCC CCC BBB CCC CCC BBB BBB BBB BBB CCC BBB BBB BBB BBB CCC CCC BBB CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCB CCB CCC CCC CCC CCC CCC CCC CCC CCC CCB CCC CCC BBB 
CCC CCC CCB CCB CCB BBB BBB CBB BBB BBB CCC CCC CCC BBB CBB BBB CCC CCC CCB CCC BBB CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CBB BBB BBB CCC CCC CCC CCC CCC BBB CCC CCC BBB CCC CCC CCC CCC CCC CCC CCB BBB CCB CCB CCB BBB BBB BBB BBB CCB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB CCC BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB BBB CCC 
BBB CCC CCC BBB BBB BBB CCC CCC CBB BBB CCC CCC CCB CCB CCC CCC CCC CBB CCC CCC CCC CCC CCB CCC CCC CBB CCC CCB CCC CCC CCC CCC CBB CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCB CCC CCC CCC CCB BBB CCC BBB CCC CCC CCC CCB CCB CCC CCC CCC CCB CBB CBB CBB CCB CBB CCC CBB CCB CCC CCB CCC CCC CCC CCC CCC CCC CBB CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCC CCB CCB CCB CCC 
